"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BAT1";"LIR2032";"BATTERYBATTCOM_20MM_PTH_SMT";"BATTCOM_20MM_PTH_SMT";"Battery Holders";"";"";"";"";
"BTN";"";"EVQQ2";"EVQ-Q2";"SMT 6mm switch, EVQQ2 series";"";"";"";"";
"C1";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C2";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C3";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C6";"18pF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"C7";"18pF";"C-USC0805K";"C0805K";"CAPACITOR, American symbol";"";"";"";"";
"CHG";"0805";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"CN1";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";"";"";"";
"IC2";"MCP73831";"MCP73831";"SOT23-5";"Microchip's MCP73831";"";"";"";"";
"IC3";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"";"";"";"";"";
"IC4";"MCP1700-33";"MCP1700SOT233";"SOT23";"VOLTAGE REGULATOR";"";"";"";"";
"ISP";"";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";
"J1";"AYZ0202";"AYZ0202";"AYZ0202";"SPDT Slide Switch";"";"";"";"";
"J2";"1X2-3.5MM";"1X2-3.5MM";"1X2-3.5MM";"3.5mm Terminal block";"";"";"";"";
"LED";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";
"LED1";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";
"LED2";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";
"LED3";"RGBLED5050";"RGBLED5050";"RGBLED5050";"For 5050 RGB LEDs, the order of the LEDs may vary from one manufacturer to another!";"";"";"";"";
"Q4";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"RC";"22K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RD+";"47";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RD-";"47";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RIR1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RIR2";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RN1";"";"4R-NEXB38V";"EXB38V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN2";"";"4R-NEXB38V";"EXB38V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN3";"";"4R-NEXB38V";"EXB38V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RN4";"";"4R-NEXB38V";"EXB38V";"Array Chip Resistor";"";"";"unknown";"unknown";
"RTHERM";"330";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";
"RU";"1.5K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"SV1";"";"MA03-2";"MA03-2";"PIN HEADER";"";"";"unknown";"unknown";
"U$1";"BUZZER";"BUZZER";"SMT-8585-BUZZER";"";"";"";"";"";
"U1";"MLX90614_";"MLX90614_";"TO-39";"Melexis IR Thermometer";"";"";"";"";
"X1";"USBSMD";"USBSMD";"USB-MINIB";"USB Connectors";"";"";"";"";
"X3";"8MHz";"XTALNX5032";"NX5032";"";"";"";"";"";
